id,r_id,x,y,z,xr,yr,zr,time
0,0,0,0,0,0,0,0,11
1,0,0,0,0,0,0,0,16
2,0,0,0,0,0,0,0,1670
3,0,0,0,0,0,0,0,1760
4,0,0,0,0,0,0,0,1789
5,0,0,0,0,0,0,0,1801
6,0,0,0,0,0,0,0,1832
7,0,0,0,0,0,0,0,1843
8,0,0,0,0,0,0,0,1855
9,0,0,0,0,0,0,0,1877
10,0,0,0,0,0,0,0,1888
11,0,0,0,0,0,0,0,1901
12,0,0,0,0,0,0,0,1914
13,0,0,0,0,0,0,0,1926
14,0,0,0,0,0,0,0,1937
15,0,0,0,0,0,0,0,1948
16,0,0,0,0,0,0,0,1960
17,0,0,0,0,0,0,0,1987
18,0,0,0,0,0,0,0,1998
19,0,0,0,0,0,0,0,2010
20,0,0,0,0,0,0,0,2022
21,0,0,0,0,0,0,0,2035
22,0,0,0,0,0,0,0,2048
23,0,0,0,0,0,0,0,2060
24,0,0,0,0,0,0,0,2073
25,0,0,0,0,0,0,0,2088
26,0,0,0,0,0,0,0,2100
27,0,0,0,0,0,0,0,2115
28,0,0,0,0,0,0,0,2148
29,0,0,0,0,0,0,0,2161
30,0,0,0,0,0,0,0,2174
31,0,0,0,0,0,0,0,2185
32,0,0,0,0,0,0,0,2201
33,0,0,0,0,0,0,0,2214
34,0,0,0,0,0,0,0,2226
35,0,0,0,0,0,0,0,2239
36,0,0,0,0,0,0,0,2250
37,0,0,0,0,0,0,0,2264
38,0,0,0,0,0,0,0,2275
39,0,0,0,0,0,0,0,2307
40,0,0,0,0,0,0,0,2317
41,0,0,0,0,0,0,0,2330
42,0,0,0,0,0,0,0,2371
43,0,0,0,0,0,0,0,2383
44,0,0,0,0,0,0,0,2393
45,0,0,0,0,0,0,0,2405
46,0,0,0,0,0,0,0,2416
47,0,0,0,0,0,0,0,2427
48,0,0.03,0,0,0,0,0,2469
49,0,0.11,0,0,0,0,0,2498
50,0,0.22,0,0,0,0,0,2511
51,0,0.27,0,0,0,0,0,2526
52,0,0.31,0,0,0,0,0,2541
53,0,0.36,0,0,0,0,0,2556
54,0,0.41,0,0,0,0,0,2570
55,0,0.48,0,0,0,0,0,2584
56,0,0.62,0,0,0,0,0,2618
57,0,0.72,0,0,0,0,0,2633
58,0,0.774,0,0,0,0,0,2646
59,0,0.863,0,0,0,0,0,2662
60,0,0.938,0,0,0,0,0,2677
61,0,1.025,0,0,0,0,0,2690
62,0,1.062,0,0,0,0,0,2704
63,0,1.153,0,0,0,0,0,2718
64,0,1.212,0,0,0,0,0,2733
65,0,1.25,0,0,0,0,0,2747
66,0,1.359,0,0,0,0,0,2782
67,0,1.382,0,0,0,0,0,2799
68,0,1.398,0,0,0,0,0,2812
69,0,1.398,0,0,0,0,0,2825
70,0,1.398,0,0,0,0,0,2846
71,0,1.398,0,0,0,0,0,2855
72,0,1.398,0,0,0,0,0,2867
73,0,1.398,0,0,0,0,0,2878
74,0,1.398,0,0,0,0,0,2890
75,0,1.398,0,0,0,0,0,2902
76,0,1.398,0,0,0,0,0,2935
77,0,1.398,0,0,0,0,0,2948
