time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration
3669,0,0.2217757,1.793984,0.5895262,0.2202393,0,0.0774077,1.65148,0.8024816,0.1085149,2.566306
3684,0,0.2165662,1.794622,0.585137,0.4852595,0,0.07604662,1.652051,0.802056,0.1089448,13.25101
3697,0,0.2095539,1.794976,0.583588,0.5131412,0,0.07471413,1.652865,0.8018309,0.1126017,1.394087
3712,0,0.2015187,1.796141,0.57885,0.6888942,0,0.07339638,1.653938,0.8017442,0.1246733,8.787647
3726,0,0.1920065,1.797051,0.5728436,0.7899698,0,0.07219431,1.655089,0.801755,0.11652,5.053782
3739,0,0.1827633,1.797068,0.567104,0.8126193,0,0.07111905,1.656152,0.8017806,0.1129436,1.132476
3753,0,0.1730953,1.796697,0.5609937,0.8123762,0,0.07026238,1.657158,0.8017886,0.0937558,-0.01215637
3767,0,0.1631464,1.7964,0.5547023,0.8339271,0,0.06964543,1.658181,0.8018698,0.08482641,1.077545
3781,0,0.1533131,1.796123,0.5486029,0.8381423,0,0.06900825,1.658981,0.801944,0.0742537,0.210762
3795,0,0.1443109,1.795279,0.5433605,0.7575189,0,0.06853513,1.659524,0.8020099,0.05242453,-4.031172
3809,0,0.1371851,1.79399,0.5396484,0.5805294,0,0.06832531,1.659586,0.8020222,0.01563733,-8.849475
3823,0,0.1316775,1.79295,0.5373275,0.4312869,0,0.0685057,1.659093,0.8020425,0.03739313,-7.462123
3837,0,0.1288466,1.792446,0.5374196,0.2074845,0,0.0683897,1.658715,0.8020487,0.0284882,-11.19012
3850,0,0.127239,1.792369,0.5385984,0.1402843,0,0.06804457,1.658326,0.802015,0.0366628,-3.360014
3864,0,0.1264883,1.792475,0.5403849,0.1440012,0,0.06728756,1.657634,0.8018613,0.07695359,0.1858473
3879,0,0.1276443,1.793167,0.5438399,0.2647842,0,0.0661684,1.656608,0.8015764,0.1102913,6.039152
3893,0,0.1301872,1.794631,0.5487863,0.4095752,0,0.06467861,1.655134,0.8011932,0.1517443,7.239549
3906,0,0.1320941,1.795778,0.5532048,0.3525166,0,0.06364916,1.654153,0.8008771,0.1037718,-2.852932
3921,0,0.1360371,1.796209,0.559305,0.5263236,0,0.06257668,1.653345,0.8005309,0.1003322,8.690349
