time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration
-47944,0,0,0,0,0,0,1.59,0,0,0,0
-47897,0,0,0,0,0,0,1.59,0,0,0,0
-47498,0,0,0,0,0,0,1.59,0,0,0,0
-47487,0,0,0,0,0,0,1.59,0,0,0,0
-47480,0,0,0,0,0,0,1.59,0,0,0,0
-47479,0,0,0,0,0,0,1.59,0,0,0,0
-47478,0,0,0,0,0,0,1.59,0,0,0,0
-47476,0,0,0,0,0,0,1.59,0,0,0,0
-47475,0,0,0,0,0,0,1.59,0,0,0,0
-47473,0,0,0,0,0,0,1.59,0,0,0,0
-47472,0,0,0,0,0,0,1.59,0,0,0,0
-47470,0,0,0,0,0,0,1.59,0,0,0,0
-47468,0,0,0,0,0,0,1.59,0,0,0,0
-47467,0,0,0,0,0,0,1.59,0,0,0,0
-48463,0,0,0,0,0,0,1.59,0,0,0,0
-48459,0,0,0,0,0,0,1.59,0,0,0,0
-48456,0,0,0,0,0,0,1.59,0,0,0,0
-48453,0,0,0,0,0,0,1.59,0,0,0,0
-48452,0,0,0,0,0,0,1.59,0,0,0,0
-48448,0,0,0,0,0,0,1.59,0,0,0,0
-48444,0,0,0,0,0,0,1.59,0,0,0,0
-48435,0,0,0,0,0,0,1.59,0,0,0,0
-48433,0,0,0,0,0,0,1.59,0,0,0,0
-48432,0,0,0,0,0,0,1.59,0,0,0,0
-48427,0,0,0,0,0,0,1.59,0,0,0,0
-48425,0,0,0,0,0,0,1.59,0,0,0,0
-48423,0,0,0,0,0,0,1.59,0,0,0,0
-48421,0,0,0,0,0,0,1.59,0,0,0,0
-48418,0,0,0,0,0,0,1.59,0,0,0,0
-48416,0,0,0,0,0,0,1.59,0,0,0,0
-48414,0,0,0,0,0,0,1.59,0,0,0,0
-48410,0,0,0,0,0,0,1.59,0,0,0,0
-48407,0,0,0,0,0,0,1.59,0,0,0,0
-48405,0,0,0,0,0,0,1.59,0,0,0,0
-48402,0,0,0,0,0,0,1.59,0,0,0,0
-48400,0,0,0,0,0,0,1.59,0,0,0,0
-48398,0,0,0,0,0,0,1.59,0,0,0,0
-48394,0,0,0,0,0,0,1.59,0,0,0,0
-48392,0,0,0,0,0,0,1.59,0,0,0,0
-48389,0,0,0,0,0,0,1.59,0,0,0,0
-48387,0,0,0,0,0,0,1.59,0,0,0,0
-48384,0,0,0,0,0,0,1.59,0,0,0,0
-48381,0,0,0,0,0,0,1.59,0,0,0,0
-48376,0,0,0,0,0,0,1.59,0,0,0,0
-48373,0,0,0,0,0,0,1.59,0,0,0,0
-48371,0,0,0,0,0,0,1.59,0,0,0,0
-48367,0,0,0,0,0,0,1.59,0,0,0,0
-48365,0,0,0,0,0,0,1.59,0,0,0,0
-48360,0,0,0,0,0,0,1.59,0,0,0,0
-48357,0,0,0,0,0,0,1.59,0,0,0,0
-48354,0,0,0,0,0,0,1.59,0,0,0,0
-48351,0,0,0,0,0,0,1.59,0,0,0,0
-48349,0,0,0,0,0,0,1.59,0,0,0,0
-48346,0,0,0,0,0,0,1.59,0,0,0,0
-48341,0,0,0,0,0,0,1.59,0,0,0,0
-48334,0,0,0,0,0,0,1.59,0,0,0,0
-48330,0,0,0,0,0,0,1.59,0,0,0,0
-48329,0,0,0,0,0,0,1.59,0,0,0,0
-48325,0,0,0,0,0,0,1.59,0,0,0,0
-48324,0,0,0,0,0,0,1.59,0,0,0,0
-48322,0,0,0,0,0,0,1.59,0,0,0,0
-48319,0,0,0,0,0,0,1.59,0,0,0,0
-48317,0,0,0,0,0,0,1.59,0,0,0,0
-48314,0,0,0,0,0,0,1.59,0,0,0,0
-48308,0,0,0,0,0,0,1.59,0,0,0,0
-48306,0,0,0,0,0,0,1.59,0,0,0,0
-48303,0,0,0,0,0,0,1.59,0,0,0,0
-48300,0,0,0,0,0,0,1.59,0,0,0,0
-48298,0,0,0,0,0,0,1.59,0,0,0,0
-48292,0,0,0,0,0,0,1.59,0,0,0,0
-48289,0,0,0,0,0,0,1.59,0,0,0,0
-48286,0,0,0,0,0,0,1.59,0,0,0,0
-48284,0,0,0,0,0,0,1.59,0,0,0,0
-48281,0,0,0,0,0,0,1.59,0,0,0,0
-48276,0,0,0,0,0,0,1.59,0,0,0,0
-48273,0,0,0,0,0,0,1.59,0,0,0,0
-48270,0,0,0,0,0,0,1.59,0,0,0,0
-48268,0,0,0,0,0,0,1.59,0,0,0,0
-48265,0,0,0,0,0,0,1.59,0,0,0,0
-48260,0,0,0,0,0,0,1.59,0,0,0,0
-48258,0,0,0,0,0,0,1.59,0,0,0,0
-48255,0,0,0,0,0,0,1.59,0,0,0,0
-48252,0,0,0,0,0,0,1.59,0,0,0,0
-48249,0,0,0,0,0,0,1.59,0,0,0,0
-48247,0,0,0,0,0,0,1.59,0,0,0,0
-48242,0,0,0,0,0,0,1.59,0,0,0,0
-48239,0,0,0,0,0,0,1.59,0,0,0,0
-48236,0,0,0,0,0,0,1.59,0,0,0,0
-48234,0,0,0,0,0,0,1.59,0,0,0,0
-48231,0,0,0,0,0,0,1.59,0,0,0,0
-48226,0,0,0,0,0,0,1.59,0,0,0,0
-48224,0,0,0,0,0,0,1.59,0,0,0,0
-48221,0,0,0,0,0,0,1.59,0,0,0,0
-48219,0,0,0,0,0,0,1.59,0,0,0,0
-48216,0,0,0,0,0,0,1.59,0,0,0,0
-48214,0,0,0,0,0,0,1.59,0,0,0,0
-48209,0,0,0,0,0,0,1.59,0,0,0,0
-48206,0,0,0,0,0,0,1.59,0,0,0,0
-48203,0,0,0,0,0,0,1.59,0,0,0,0
-48201,0,0,0,0,0,0,1.59,0,0,0,0
-48198,0,0,0,0,0,0,1.59,0,0,0,0
-48193,0,0,0,0,0,0,1.59,0,0,0,0
-48190,0,0,0,0,0,0,1.59,0,0,0,0
-48187,0,0,0,0,0,0,1.59,0,0,0,0
-48185,0,0,0,0,0,0,1.59,0,0,0,0
-48182,0,0,0,0,0,0,1.59,0,0,0,0
-48180,0,0,0,0,0,0,1.59,0,0,0,0
-48178,0,0,0,0,0,0,1.59,0,0,0,0
-48176,0,0,0,0,0,0,1.59,0,0,0,0
-48174,0,0,0,0,0,0,1.59,0,0,0,0
-48173,0,0,0,0,0,0,1.59,0,0,0,0
-48171,0,0,0,0,0,0,1.59,0,0,0,0
-48170,0,0,0,0,0,0,1.59,0,0,0,0
-48168,0,0,0,0,0,0,1.59,0,0,0,0
-48167,0,0,0,0,0,0,1.59,0,0,0,0
-48165,0,0,0,0,0,0,1.59,0,0,0,0
-48164,0,0,0,0,0,0,1.59,0,0,0,0
-48162,0,0,0,0,0,0,1.59,0,0,0,0
-48161,0,0,0,0,0,0,1.59,0,0,0,0
-48159,0,0,0,0,0,0,1.59,0,0,0,0
-48158,0,0,0,0,0,0,1.59,0,0,0,0
-48156,0,0,0,0,0,0,1.59,0,0,0,0
-48155,0,0,0,0,0,0,1.59,0,0,0,0
-48153,0,0,0,0,0,0,1.59,0,0,0,0
-48152,0,0,0,0,0,0,1.59,0,0,0,0
-48150,0,0,0,0,0,0,1.59,0,0,0,0
-48149,0,0,0,0,0,0,1.59,0,0,0,0
-48147,0,0,0,0,0,0,1.59,0,0,0,0
-48146,0,0,0,0,0,0,1.59,0,0,0,0
-48144,0,0,0,0,0,0,1.59,0,0,0,0
-48143,0,0,0,0,0,0,1.59,0,0,0,0
-48141,0,0,0,0,0,0,1.59,0,0,0,0
-48140,0,0,0,0,0,0,1.59,0,0,0,0
-48138,0,0,0,0,0,0,1.59,0,0,0,0
-48136,0,0,0,0,0,0,1.59,0,0,0,0
-48135,0,0,0,0,0,0,1.59,0,0,0,0
-48133,0,0,0,0,0,0,1.59,0,0,0,0
-48131,0,0,0,0,0,0,1.59,0,0,0,0
-48130,0,0,0,0,0,0,1.59,0,0,0,0
-48128,0,0,0,0,0,0,1.59,0,0,0,0
-48127,0,0,0,0,0,0,1.59,0,0,0,0
-48125,0,0,0,0,0,0,1.59,0,0,0,0
-48124,0,0,0,0,0,0,1.59,0,0,0,0
-48123,0,0,0,0,0,0,1.59,0,0,0,0
