time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration
7744,0,0.1870411,1.787581,0.6093199,0.3303778,0,-0.01382083,1.620483,0.8572506,0.1344078,-0.441362
7759,0,0.1825178,1.787487,0.6084654,0.3317678,0,-0.01555943,1.620247,0.8579568,0.1362778,0.069502
7773,0,0.1779044,1.787438,0.6075403,0.3389592,0,-0.01731034,1.61998,0.8587251,0.1390735,0.359568
7787,0,0.1731581,1.787426,0.6065344,0.343841,0,-0.01906971,1.61971,0.8595825,0.1400245,0.2440915
7800,0,0.1683382,1.787398,0.6055712,0.3590524,0,-0.0208739,1.619384,0.8606347,0.1544106,0.7605687
7815,0,0.1635733,1.787117,0.6046986,0.3408789,0,-0.02267494,1.618985,0.8616652,0.1484352,-0.9086713
7829,0,0.1589184,1.786779,0.6038696,0.3431948,0,-0.02446605,1.618642,0.8625448,0.1465995,0.115791
7843,0,0.1541968,1.786469,0.6030304,0.3470267,0,-0.02629347,1.618169,0.8633106,0.1471005,0.1915962
7857,0,0.149363,1.786276,0.602098,0.349081,0,-0.02811988,1.617644,0.8640575,0.1446857,0.1027137
7870,0,0.144432,1.786139,0.6011239,0.3646472,0,-0.02995522,1.617176,0.8648463,0.1487874,0.77831
7884,0,0.1394996,1.785984,0.6001567,0.3627174,0,-0.03184806,1.616802,0.8657567,0.1538859,-0.096488
7898,0,0.1344905,1.785772,0.5991486,0.3677248,0,-0.03380366,1.616524,0.8667665,0.1595197,0.2503693
7912,0,0.1293585,1.785672,0.5981367,0.3783905,0,-0.03576028,1.616213,0.8677731,0.1607209,0.5332842
7926,0,0.1241324,1.785771,0.5971513,0.3793527,0,-0.03774985,1.615958,0.8688365,0.1619159,0.04811138
7940,0,0.1188407,1.785924,0.5962169,0.3820138,0,-0.03975606,1.615768,0.8698429,0.1600671,0.1330569
7954,0,0.1135852,1.785988,0.5953141,0.3879635,0,-0.04171275,1.615589,0.8707008,0.1559722,0.2974823
7968,0,0.1085482,1.785916,0.5945066,0.3656704,0,-0.04367802,1.61546,0.8714641,0.1513961,-1.114652
7981,0,0.1037489,1.785724,0.5938322,0.3452318,0,-0.04566283,1.615402,0.8721565,0.1496805,-1.021931
7996,0,0.0990282,1.785577,0.5933356,0.3432412,0,-0.04768738,1.615421,0.8729022,0.1559432,-0.0995338
8010,0,0.0942186,1.785556,0.5928382,0.3466708,0,-0.04973894,1.615532,0.8736525,0.1568196,0.1714811
8024,0,0.08937161,1.785711,0.5923879,0.3484246,0,-0.05179948,1.615635,0.8743836,0.1565869,0.08769035
8038,0,0.0845447,1.785873,0.5919854,0.3468075,0,-0.05384731,1.615712,0.8751001,0.1553507,-0.08085519
8052,0,0.0798908,1.786151,0.5916976,0.3385379,0,-0.05593777,1.615811,0.8758796,0.1618568,-0.4134789
8065,0,0.07518097,1.786352,0.5913942,0.3363042,0,-0.05805403,1.615976,0.8767245,0.1626486,-0.1116872
8079,0,0.07035622,1.786377,0.5910184,0.3497122,0,-0.06018907,1.616274,0.8776463,0.1694305,0.6704003
8094,0,0.06557607,1.786317,0.5907286,0.3424454,0,-0.06231616,1.616536,0.8786256,0.1684737,-0.363338
8107,0,0.06081557,1.786332,0.5904951,0.3476173,0,-0.06441026,1.616737,0.8795626,0.1679663,0.2585948
8121,0,0.05601775,1.786385,0.5902539,0.3398723,0,-0.06646717,1.616861,0.8803489,0.1560347,-0.3872514
8134,0,0.0512488,1.786422,0.590039,0.3476151,0,-0.06849887,1.616909,0.8810448,0.156414,0.3871426
8149,0,0.04657681,1.786377,0.5898659,0.3289665,0,-0.07051373,1.616886,0.8816803,0.1486589,-0.9324297
8163,0,0.04190724,1.786348,0.5897262,0.3265772,0,-0.0724889,1.61682,0.8823255,0.1453304,-0.1194686
8176,0,0.03723531,1.786388,0.5895596,0.3565403,0,-0.07448258,1.616771,0.8830289,0.161274,1.498158
8190,0,0.03236642,1.786404,0.5893561,0.3437738,0,-0.07644019,1.616684,0.8837084,0.1463092,-0.638324
8205,0,0.02747073,1.786359,0.5891153,0.3572854,0,-0.07837606,1.616585,0.8843419,0.1486423,0.6755754
8219,0,0.02273461,1.786254,0.5889439,0.3365824,0,-0.08028422,1.616447,0.884958,0.1427078,-1.035149
8232,0,0.01813429,1.7861,0.5889027,0.3299716,0,-0.08215377,1.616378,0.8854942,0.1395088,-0.3305405
8246,0,0.01356073,1.785982,0.5888675,0.3290105,0,-0.08400911,1.616381,0.8859739,0.1378067,-0.04805177
8260,0,0.008801466,1.785925,0.5888551,0.3361193,0,-0.08580463,1.616403,0.8863959,0.1302628,0.3554389
8275,0,0.003834794,1.785884,0.5887553,0.3563122,0,-0.08752476,1.616362,0.8867927,0.1266488,1.009645
8288,0,-0.001213634,1.785779,0.5885491,0.3612002,0,-0.08926179,1.616419,0.8872609,0.1286421,0.2444014
8302,0,-0.006292767,1.785597,0.5883733,0.3765925,0,-0.09098462,1.616533,0.8877682,0.1332678,0.7696137
