time,r_id,r_xpos,r_ypos,r_zpos,r_speed,r_acceleration,l_xpos,l_ypos,l_zpos,l_speed,l_acceleration
38,0,3.577037E-07,2.099676,0.804,0.1961946,0,3.577037E-07,2.099676,0.804,0.1961946,9.809732
86,0,3.577037E-07,2.091828,0.804,0.3924131,0,3.577037E-07,2.091828,0.804,0.3924131,9.810925
807,0,3.577037E-07,0.2000049,0.804,5.675468,0,3.577037E-07,0.2000049,0.804,5.675468,264.1528
831,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,-283.7734
851,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
863,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
877,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
890,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
905,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
918,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
933,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
947,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
960,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
975,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
988,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1002,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1016,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1030,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1043,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1058,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1072,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1085,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1099,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1113,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1127,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1141,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1155,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1170,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1183,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1197,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1212,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1225,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1238,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1253,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1266,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1280,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
1294,0,3.577037E-07,0.2000049,0.804,0,0,3.577037E-07,0.2000049,0.804,0,0
